timestamp,Non-Renewable,Renewable,price
2025-01-04T17:00+01:00,29695.78891,18713.9842,151.24
2025-01-04T18:00+01:00,29650.89861,19296.16199,143.85
2025-01-04T19:00+01:00,29293.13497,19630.53355,137.96
2025-01-04T20:00+01:00,28568.2289,19122.1083,129.49
2025-01-04T21:00+01:00,27445.16674,19001.20598,122.83
2025-01-04T22:00+01:00,25824.41635,18487.77236,118.29
2025-01-04T23:00+01:00,24577.5936,17836.16288,109.49
2025-01-05T00:00+01:00,23300.2376,16606.32347,113.84
2025-01-05T01:00+01:00,21983.10978,16403.39708,100.33
2025-01-05T02:00+01:00,21285.87369,16026.67294,93.61
2025-01-05T03:00+01:00,20295.33834,15070.54397,93.87
2025-01-05T04:00+01:00,19811.35036,15422.86295,89.38
2025-01-05T05:00+01:00,19667.30273,17063.36691,83.55
2025-01-05T06:00+01:00,19220.8997,19291.39168,83.92
2025-01-05T07:00+01:00,19191.36636,22580.0128,82.53
2025-01-05T08:00+01:00,19562.85053,26640.12524,84.05
2025-01-05T09:00+01:00,19714.40657,30097.42478,89.15
2025-01-05T10:00+01:00,19890.51468,33716.04319,82.95
2025-01-05T11:00+01:00,19049.68604,36260.65953,88.82
2025-01-05T12:00+01:00,18647.21461,37704.59616,81.66
2025-01-05T13:00+01:00,17375.53244,38640.45786,78.39
2025-01-05T14:00+01:00,16768.99623,39546.03389,68
2025-01-05T15:00+01:00,15930.77518,40153.80308,50.64
2025-01-05T16:00+01:00,15834.4883,42293.63749,49.91
2025-01-05T17:00+01:00,15647.43537,43879.67658,66.3
2025-01-05T18:00+01:00,15258.76135,43962.46372,65.05
2025-01-05T19:00+01:00,14001.37774,43518.79858,51.28
2025-01-05T20:00+01:00,12837.45939,42462.2096,36.85
2025-01-05T21:00+01:00,12751.77163,41490.81317,36.8
2025-01-05T22:00+01:00,13106.71581,39567.24027,34.68
2025-01-05T23:00+01:00,12198.49161,39256.45049,28.14
2025-01-06T00:00+01:00,10086.20524,40347.58187,27.52
2025-01-06T01:00+01:00,10114.90222,40940.40888,19.26
2025-01-06T02:00+01:00,10374.31692,42186.85196,11.35
2025-01-06T03:00+01:00,10407.78378,43966.18897,9.2
2025-01-06T04:00+01:00,10403.5528,45303.01495,10
2025-01-06T05:00+01:00,10296.81501,46868.96606,14.81
2025-01-06T06:00+01:00,10459.01542,48443.35395,23.82
2025-01-06T07:00+01:00,11207.44586,49879.63235,31.72
2025-01-06T08:00+01:00,11952.11656,50571.34627,41.37
2025-01-06T09:00+01:00,12230.90462,53317.8309,36.36
2025-01-06T10:00+01:00,11511.41384,56855.1368,34.69
2025-01-06T11:00+01:00,10908.0702,59777.61837,32.83
2025-01-06T12:00+01:00,10663.48512,61310.39648,31.28
2025-01-06T13:00+01:00,10516.63703,61183.16616,28.6
2025-01-06T14:00+01:00,10879.22325,58601.32393,25.61
2025-01-06T15:00+01:00,11250.55664,55052.81917,26.32
2025-01-06T16:00+01:00,11652.50587,54187.83217,26.87
2025-01-06T17:00+01:00,12715.81039,53991.19784,31.66
2025-01-06T18:00+01:00,14247.9055,51999.26804,31.58
2025-01-06T19:00+01:00,14847.3744,52245.96296,28.74
2025-01-06T20:00+01:00,15129.86017,51469.08667,26.59
2025-01-06T21:00+01:00,14858.85119,50385.41503,13.82
2025-01-06T22:00+01:00,14144.99601,47774.21319,26.94
2025-01-06T23:00+01:00,13441.70847,47184.00015,12.99
2025-01-07T00:00+01:00,11880.16983,47549.69068,19.07
2025-01-07T01:00+01:00,11115.7744,47073.42024,8.71
2025-01-07T02:00+01:00,11106.57096,47069.81026,8.9
2025-01-07T03:00+01:00,11167.3683,47053.84806,5.01
2025-01-07T04:00+01:00,11258.5811,46835.94408,5.13
2025-01-07T05:00+01:00,12424.00364,46302.36729,5.8
2025-01-07T06:00+01:00,14421.20022,47776.3993,48.86
2025-01-07T07:00+01:00,17608.48659,47952.97955,76.83
2025-01-07T08:00+01:00,18699.27484,48765.07778,85.08
2025-01-07T09:00+01:00,19114.93198,49698.48371,84.24
2025-01-07T10:00+01:00,18555.27127,52040.72523,75.25
2025-01-07T11:00+01:00,17632.74037,54818.006,62.8
2025-01-07T12:00+01:00,17231.2786,55686.76668,62.44
2025-01-07T13:00+01:00,16898.4277,54327.03943,63.9
2025-01-07T14:00+01:00,17005.02372,50986.47662,72.56
2025-01-07T15:00+01:00,17753.94015,46753.54417,78.11
2025-01-07T16:00+01:00,18608.93977,45175.87533,79.98
2025-01-07T17:00+01:00,20197.75761,46902.52503,96.03
2025-01-07T18:00+01:00,20991.57345,47231.04175,101.11
2025-01-07T19:00+01:00,21164.508,46268.4432,86.21
2025-01-07T20:00+01:00,21045.02267,46525.31663,78.01
2025-01-07T21:00+01:00,20587.33341,46190.94736,72.45
2025-01-07T22:00+01:00,19678.94612,44658.93193,72.45
2025-01-07T23:00+01:00,19344.76796,43477.24751,50.04
2025-01-08T00:00+01:00,17997.15089,43141.40809,71.05
2025-01-08T01:00+01:00,18081.20811,41977.74145,68.01
2025-01-08T02:00+01:00,18701.15894,40158.56862,63.34
2025-01-08T03:00+01:00,18867.04508,39545.54748,57.01
2025-01-08T04:00+01:00,19868.52126,39305.00321,66.29
2025-01-08T05:00+01:00,22448.95262,39504.23683,72.07
2025-01-08T06:00+01:00,25433.54317,40883.54856,82.7
2025-01-08T07:00+01:00,28185.64759,41592.17327,100.73
2025-01-08T08:00+01:00,30271.14687,41359.92549,128.22
2025-01-08T09:00+01:00,31266.21692,40432.15234,108.18
2025-01-08T10:00+01:00,31701.71456,40922.78553,94.65
2025-01-08T11:00+01:00,31628.35582,40749.56571,100.01
2025-01-08T12:00+01:00,31860.87482,39440.93727,89.99
2025-01-08T13:00+01:00,32141.39803,37082.59752,97.2
2025-01-08T14:00+01:00,32247.37281,34000.39066,110.19
2025-01-08T15:00+01:00,31564.72308,31353.96797,127.8
2025-01-08T16:00+01:00,31763.13948,31514.56563,135.82
2025-01-08T17:00+01:00,31917.26647,31936.95663,155.46
2025-01-08T18:00+01:00,31894.63534,31211.17141,149.23
2025-01-08T19:00+01:00,31252.00331,29980.01952,146.48
2025-01-08T20:00+01:00,30825.7146,27487.16476,136.86
2025-01-08T21:00+01:00,29215.00667,25157.81427,127.86
2025-01-08T22:00+01:00,27336.53684,23491.65707,115.92
2025-01-08T23:00+01:00,25791.63699,22572.38831,103.59
2025-01-09T00:00+01:00,25179.66487,21786.24874,101.44
2025-01-09T01:00+01:00,24863.09841,21127.33511,100
2025-01-09T02:00+01:00,24995.7563,20030.95765,98.77
2025-01-09T03:00+01:00,25504.14968,19950.80736,95.22
2025-01-09T04:00+01:00,26219.21478,20477.06986,98.28
2025-01-09T05:00+01:00,28133.50372,20427.60439,102.65
2025-01-09T06:00+01:00,32376.77851,20375.65465,133.54
2025-01-09T07:00+01:00,34099.97654,20224.42892,148.8
